Specification,RGB hex value
CSS Level 1,#000000
CSS Level 1,#c0c0c0
CSS Level 1,#808080
CSS Level 1,#ffffff
CSS Level 1,#800000
CSS Level 1,#ff0000
CSS Level 1,#800080
CSS Level 1,#ff00ff
CSS Level 1,#008000
CSS Level 1,#00ff00
CSS Level 1,#808000
CSS Level 1,#ffff00
CSS Level 1,#000080
CSS Level 1,#0000ff
CSS Level 1,#008080
CSS Level 1,#00ffff
CSS Level 2 (Revision 1),#ffa500
CSS Color Module Level 3,#f0f8ff
CSS Color Module Level 3,#faebd7
CSS Color Module Level 3,#7fffd4
CSS Color Module Level 3,#f0ffff
CSS Color Module Level 3,#f5f5dc
CSS Color Module Level 3,#ffe4c4
CSS Color Module Level 3,#ffebcd
CSS Color Module Level 3,#8a2be2
CSS Color Module Level 3,#a52a2a
CSS Color Module Level 3,#deb887
CSS Color Module Level 3,#5f9ea0
CSS Color Module Level 3,#7fff00
CSS Color Module Level 3,#d2691e
CSS Color Module Level 3,#ff7f50
CSS Color Module Level 3,#6495ed
CSS Color Module Level 3,#fff8dc
CSS Color Module Level 3,#dc143c
CSS Color Module Level 3,#00ffff
CSS Color Module Level 3,#00008b
CSS Color Module Level 3,#008b8b
CSS Color Module Level 3,#b8860b
CSS Color Module Level 3,#a9a9a9
CSS Color Module Level 3,#006400
CSS Color Module Level 3,#a9a9a9
CSS Color Module Level 3,#bdb76b
CSS Color Module Level 3,#8b008b
CSS Color Module Level 3,#556b2f
CSS Color Module Level 3,#ff8c00
CSS Color Module Level 3,#9932cc
CSS Color Module Level 3,#8b0000
CSS Color Module Level 3,#e9967a
CSS Color Module Level 3,#8fbc8f
CSS Color Module Level 3,#483d8b
CSS Color Module Level 3,#2f4f4f
CSS Color Module Level 3,#2f4f4f
CSS Color Module Level 3,#00ced1
CSS Color Module Level 3,#9400d3
CSS Color Module Level 3,#ff1493
CSS Color Module Level 3,#00bfff
CSS Color Module Level 3,#696969
CSS Color Module Level 3,#696969
CSS Color Module Level 3,#1e90ff
CSS Color Module Level 3,#b22222
CSS Color Module Level 3,#fffaf0
CSS Color Module Level 3,#228b22
CSS Color Module Level 3,#dcdcdc
CSS Color Module Level 3,#f8f8ff
CSS Color Module Level 3,#ffd700
CSS Color Module Level 3,#daa520
CSS Color Module Level 3,#adff2f
CSS Color Module Level 3,#808080
CSS Color Module Level 3,#f0fff0
CSS Color Module Level 3,#ff69b4
CSS Color Module Level 3,#cd5c5c
CSS Color Module Level 3,#4b0082
CSS Color Module Level 3,#fffff0
CSS Color Module Level 3,#f0e68c
CSS Color Module Level 3,#e6e6fa
CSS Color Module Level 3,#fff0f5
CSS Color Module Level 3,#7cfc00
CSS Color Module Level 3,#fffacd
CSS Color Module Level 3,#add8e6
CSS Color Module Level 3,#f08080
CSS Color Module Level 3,#e0ffff
CSS Color Module Level 3,#fafad2
CSS Color Module Level 3,#d3d3d3
CSS Color Module Level 3,#90ee90
CSS Color Module Level 3,#d3d3d3
CSS Color Module Level 3,#ffb6c1
CSS Color Module Level 3,#ffa07a
CSS Color Module Level 3,#20b2aa
CSS Color Module Level 3,#87cefa
CSS Color Module Level 3,#778899
CSS Color Module Level 3,#778899
CSS Color Module Level 3,#b0c4de
CSS Color Module Level 3,#ffffe0
CSS Color Module Level 3,#32cd32
CSS Color Module Level 3,#faf0e6
CSS Color Module Level 3,#ff00ff
CSS Color Module Level 3,#66cdaa
CSS Color Module Level 3,#0000cd
CSS Color Module Level 3,#ba55d3
CSS Color Module Level 3,#9370db
CSS Color Module Level 3,#3cb371
CSS Color Module Level 3,#7b68ee
CSS Color Module Level 3,#00fa9a
CSS Color Module Level 3,#48d1cc
CSS Color Module Level 3,#c71585
CSS Color Module Level 3,#191970
CSS Color Module Level 3,#f5fffa
CSS Color Module Level 3,#ffe4e1
CSS Color Module Level 3,#ffe4b5
CSS Color Module Level 3,#ffdead
CSS Color Module Level 3,#fdf5e6
CSS Color Module Level 3,#6b8e23
CSS Color Module Level 3,#ff4500
CSS Color Module Level 3,#da70d6
CSS Color Module Level 3,#eee8aa
CSS Color Module Level 3,#98fb98
CSS Color Module Level 3,#afeeee
CSS Color Module Level 3,#db7093
CSS Color Module Level 3,#ffefd5
CSS Color Module Level 3,#ffdab9
CSS Color Module Level 3,#cd853f
CSS Color Module Level 3,#ffc0cb
CSS Color Module Level 3,#dda0dd
CSS Color Module Level 3,#b0e0e6
CSS Color Module Level 3,#bc8f8f
CSS Color Module Level 3,#4169e1
CSS Color Module Level 3,#8b4513
CSS Color Module Level 3,#fa8072
CSS Color Module Level 3,#f4a460
CSS Color Module Level 3,#2e8b57
CSS Color Module Level 3,#fff5ee
CSS Color Module Level 3,#a0522d
CSS Color Module Level 3,#87ceeb
CSS Color Module Level 3,#6a5acd
CSS Color Module Level 3,#708090
CSS Color Module Level 3,#708090
CSS Color Module Level 3,#fffafa
CSS Color Module Level 3,#00ff7f
CSS Color Module Level 3,#4682b4
CSS Color Module Level 3,#d2b48c
CSS Color Module Level 3,#d8bfd8
CSS Color Module Level 3,#ff6347
CSS Color Module Level 3,#40e0d0
CSS Color Module Level 3,#ee82ee
CSS Color Module Level 3,#f5deb3
CSS Color Module Level 3,#f5f5f5
CSS Color Module Level 3,#9acd32
CSS Color Module Level 4,#663399
